


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:20:06, entro al menu principal, entro al menu mantenimiento, entro al menu empleados, entro al menu mostrar datos empleado, entro al menu empleados, entro al menu registrar empleado, registro a: 9959, entro al menu empleados, entro al menu mostrar datos empleado, entro al menu empleados, entro al menu mantenimiento, entro al menu departamentos, entro al menu mostrar datos Depto, entro al menu departamentos, entro al menu mantenimiento, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:34:19, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:36:55, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:38:43, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:41:15, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:42:45, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:50:25, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:52:20, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:53:52, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:55:24, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:56:40, entro al menu principal, entro al menu Impuestos, entro al menu Mostrar Datos concepto Impuestos, entro al menu Impuestos, entro al menu principal, entro a mostrar bitacora, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:57:44, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:04:03, entro al menu principal, entro al menu mantenimiento, entro al menu empleados, entro al menu registrar empleado, registro a: 5656, entro al menu empleados, entro al menu mantenimiento, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:07:43, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


