
23/5/2022  20:27:12  	se registro un nuevo usuario:   admon
23/5/2022  20:27:24  	admon se logueo
23/5/2022  20:27:46  	el ultimo usuario logueado ingreso un nuevo registro con id:  123
23/5/2022  20:28:14  	el ultimo usuario logueado ingreso un nuevo registro con id:  789
23/5/2022  20:28:37  	el ultimo usuario logueado modifico el registro con id  456
23/5/2022  20:28:59  	el ultimo usuario logueado modifico el registro con id  789
23/5/2022  20:29:8  	el ultimo usuario logueado elimino el registro con id  789
23/5/2022  20:29:8  	el ultimo usuario logueado elimino el registro con id  789
23/5/2022  20:36:0  	admon se logueo
23/5/2022  21:11:31  	admon se logueo
23/5/2022  21:12:46  	admon se logueo
23/5/2022  22:23:56  	admon se logueo
23/5/2022  22:24:52  	admon se logueo
23/5/2022  22:28:21  	admon se logueo
23/5/2022  22:32:4  	admon se logueo
23/5/2022  22:38:4  	admon se logueo
23/5/2022  22:40:52  	admon se logueo
23/5/2022  23:15:51  	admon se logueo
23/5/2022  23:16:20  	admon se logueo
23/5/2022  23:16:51  	admon se logueo
23/5/2022  23:21:6  	admon se logueo
23/5/2022  23:21:29  	admon se logueo
23/5/2022  23:22:0  	admon se logueo
23/5/2022  23:22:28  	admon se logueo
23/5/2022  23:22:54  	admon se logueo
23/5/2022  23:23:19  	admon se logueo
23/5/2022  23:23:37  	admon se logueo
23/5/2022  23:25:16  	admon se logueo
23/5/2022  23:25:43  	admon se logueo
23/5/2022  23:28:20  	admon se logueo
23/5/2022  23:30:1  	admon se logueo
23/5/2022  23:32:46  	admon se logueo
23/5/2022  23:33:16  	admon se logueo
23/5/2022  23:33:34  	admon se logueo
23/5/2022  23:34:11  	admon se logueo
23/5/2022  23:39:3  	admon se logueo
23/5/2022  23:40:3  	admon se logueo
23/5/2022  23:40:25  	admon se logueo
23/5/2022  23:41:16  	admon se logueo
23/5/2022  23:42:39  	admon se logueo
23/5/2022  23:43:50  	admon se logueo
23/5/2022  23:44:35  	admon se logueo
23/5/2022  23:47:32  	admon se logueo
23/5/2022  23:47:52  	admon se logueo
23/5/2022  23:48:13  	admon se logueo
23/5/2022  23:48:47  	admon se logueo
23/5/2022  23:50:12  	admon se logueo
23/5/2022  23:50:35  	admon se logueo
23/5/2022  23:52:10  	admon se logueo
23/5/2022  23:52:43  	admon se logueo
24/5/2022  7:56:47  	admon se logueo
24/5/2022  7:57:33  	admon se logueo
24/5/2022  7:58:7  	admon se logueo
24/5/2022  7:59:24  	admon se logueo
27/5/2022  9:47:13  	admon se logueo
27/5/2022  9:47:34  	
27/5/2022  9:47:39  	
27/5/2022  9:47:40  	
27/5/2022  9:47:40  	
27/5/2022  9:47:40  	
27/5/2022  9:47:43  	
27/5/2022  9:47:43  	
27/5/2022  9:47:43  	
27/5/2022  9:47:44  	
27/5/2022  9:47:44  	
27/5/2022  9:47:44  	
27/5/2022  9:47:44  	
27/5/2022  9:47:45  	
27/5/2022  9:47:45  	
27/5/2022  9:47:45  	
27/5/2022  9:53:34  	admon se logueo
27/5/2022  9:54:5  	
27/5/2022  9:54:25  	admon se logueo
27/5/2022  9:54:51  	admon se logueo
27/5/2022  9:55:1  	
27/5/2022  9:55:31  	admon se logueo
27/5/2022  9:58:27  	admon se logueo
27/5/2022  9:58:37  	
27/5/2022  9:58:49  	admon se logueo
27/5/2022  10:5:1  	admon se logueo
27/5/2022  10:5:9  	el ultimo usuario ingreso un nivel de estudio  p
27/5/2022  10:5:29  	admon se logueo
27/5/2022  10:5:36  	el ultimo usuario ingreso un nivel de estudio  primaria
27/5/2022  10:5:47  	el ultimo usuario ingreso un nivel de estudio  basicos
27/5/2022  10:5:57  	el ultimo usuario ingreso un nivel de estudio  secundaria
31/5/2022  9:0:33  	admon se logueo
31/5/2022  9:1:24  	el ultimo usuario logueado ingreso un nuevo registro con id:  6548
31/5/2022  9:3:15  	el ultimo usuario logueado ingreso un nuevo registro con id:  6545
31/5/2022  9:3:52  	el ultimo usuario logueado modifico el registro con id  456
31/5/2022  9:4:0  	el ultimo usuario logueado modifico el registro con id  321se registro un nuevo usuario:   grupo
31/5/2022  9:8:59  	grupo se logueo
